Licensee,Type of License,Address,City/Town,Phone,Capacity,Indoor,Patio,On Tap?
CARIBBEAN HEAT FAMILY RESTAURANT,Restaurant,1300 FINCH AVE. W                        UNITS #15 & #16	 	NORTH YORK	 	ON M3J 3K2,NORTH YORK,416-739-6600,90,90,0,
CARIBU WEST INDIAN CUISINE,Restaurant,3412A WESTON ROAD	 	NORTH YORK	 	ON M9M 2W1,NORTH YORK,416-748-5883,38,38,0,
CASA RICCA BANQUET HALL,Banquet Hall,4801 STEELES AVE.                        UNIT #34	 	NORTH YORK	 	ON M9L 2W1,NORTH YORK,416-744-3339,330,330,0,
CHALKERS PUB BILLIARD BISTRO,Restaurant,247 MARLEE AVE.	 	NORTH YORK	 	ON M6B 4B8,NORTH YORK,416-789-2531,149,100,49,
CHEZ LAURENT,Restaurant,4965 YONGE ST	 	NORTH YORK	 	ON M2N 5N6,NORTH YORK,416-395-0909,69,37,32,
CHO MING'S RESTAURANT,Restaurant,1711 JANE ST	 	NORTH YORK	 	ON M9N 2S3,NORTH YORK,416-242-8126,75,75,0,
CIVITANOVA DEL SANNIO CLUB,Social Club,3695 DUFFERIN ST	 	NORTH YORK	 	ON M3K 1N9,NORTH YORK,416-638-0616,0,0,0,
CLUB VALLELONGA MONSERRATO,Restaurant,2845 DUFFERIN ST	 	NORTH YORK	 	ON M6B 3S4,NORTH YORK,416-781-1438,130,130,0,
COM TAM DAO VIEN,Restaurant,2437 FINCH AVE W                         UNIT 9 - FINCH MAIN PLAZA	 	NORTH YORK	 	ON M9M 2E7,NORTH YORK,647-439-6481,120,120,0,
CONGRESS (THE),Bar /Tavern /Nightclub,4646 YONGE ST	 	NORTH YORK	 	ON M2N 5M1,NORTH YORK,416-222-7381,82,44,38,
CUE BILLIARD & CAFE (THE),Restaurant,1300 FINCH AVE W                         UNIT 45	 	NORTH YORK	 	ON M3J 3K2,NORTH YORK,416-663-3296,335,290,45,
DAROSA CAFE AND RESTAURANT,Restaurant,2853 DUFFERIN ST	 	NORTH YORK	 	ON M6B 3S4,NORTH YORK,416-781-3325,41,41,0,
DAVID DUNCAN HOUSE (THE),Restaurant,125 MOATFIELD DRIVE	 	NORTH YORK	 	ON M3B 3L6,NORTH YORK,416-391-1424,411,357,54,
DEMI'S RESTAURNT,Restaurant,221 WILMINGTON AVE.                      UNIT #9	 	NORTH YORK	 	ON M3H 5K1,NORTH YORK,416-635-6444,89,89,0,
DIGLA RESTAURANT,Restaurant,2300 FINCH AVE W                         UNIT 68	 	NORTH YORK	 	ON M9M 2Y3,NORTH YORK,416-746-2420,73,73,0,
DON MILLS FOUNDATION FOR SENIORS,Restaurant,1 OVERLAND DRIVE	 	NORTH YORK	 	ON M3C 2C3,NORTH YORK,416-447-7244,557,480,77,
DON VALLEY GOLF COURSE,Restaurant,4200 YONGE ST	 	NORTH YORK	 	ON M2P 1N9,NORTH YORK,416-512-0861,166,137,29,
DONWAY PLACE RETIREMENT CENTRE,Restaurant,8-10 THE DONWAY E	 	NORTH YORK	 	ON M3C 3R7,NORTH YORK,416-445-7555,566,492,74,
DOY DOY DONER POINT,Restaurant,866 WILSON AVE	 	NORTH YORK	 	ON M3K 1E5,NORTH YORK,,82,44,38,
DR. DELI & THE SALAD QUEEN RESTAURANT,Restaurant,1881 STEELES AVE. W.                     STORE #3	 	NORTH YORK	 	ON M3H 5Y4,NORTH YORK,416-665-2550,87,87,0,
EARTH INDIAN RESTAURANT & WINE BAR,Restaurant,5949 YONGE ST	 	NORTH YORK	 	ON M2M 3V8,NORTH YORK,416-590-9339,167,95,72,
EHWA RESTAURANT,Restaurant,5182 YONGE ST	 	NORTH YORK	 	ON M2N 5P6,NORTH YORK,416-229-6719,89,76,13,
EL TIPICO ECUATORIANO RESTAURANT,Restaurant,2312 KEELE ST	 	NORTH YORK	 	ON M6M 3Z8,NORTH YORK,416-614-1136,34,34,0,
ELIAS RESTAURANT AND TAVERN,Restaurant,3310 KEELE ST.	 	NORTH YORK	 	ON M3M 2H7,NORTH YORK,416-633-1735,70,70,0,
EMPEROR'S HOUSE RESTAURANT,Restaurant,2522 JANE ST	 	NORTH YORK	 	ON M3L 1S1,NORTH YORK,416-747-8388,34,34,0,
ESPERADO,Restaurant,6321 YONGE ST                            2ND FLOOR	 	NORTH YORK	 	ON M2M 3X7,NORTH YORK,416-671-5944,209,209,0,
EUROPE BAR AND RESTAURANT,Restaurant,3030 BATHURST ST	 	NORTH YORK	 	ON M6B 3B6,NORTH YORK,647-436-9739,66,56,10,
FANTAXIA CAFE,Restaurant,3555 DON MILLS RD.                       UNIT 5	 	NORTH YORK	 	ON M2H 3N3,NORTH YORK,416-492-8880,114,114,0,
FERG'S BAR & GRILL,Restaurant,5254 YONGE ST	 	NORTH YORK	 	ON M2N 5P6,NORTH YORK,416-224-2196,98,69,29,
FIRST CHOICE RESTAURANT,Restaurant/Bar,3585 KEELE ST                            UNIT #9	 	NORTH YORK	 	ON M3J 3H5,NORTH YORK,416-631-6113,60,60,0,
FLAME RESTAURANT AND TAVERN (THE),Restaurant,1387 LAWRENCE AVE. W	 	NORTH YORK	 	ON M6L 1A4,NORTH YORK,416-240-7073,212,212,0,
FLAMING STAR RESTAURANT,Restaurant,4807 STEELES AVE. W.	 	NORTH YORK	 	ON M9L 2W1,NORTH YORK,416-746-2024,30,30,0,
FOX & FIDDLE,Restaurant,1285 FINCH AVE. W.	 	NORTH YORK	 	ON M3J 2G5,NORTH YORK,416-633-1286,296,208,88,
FOX AND FIDDLE,Hotel/Motel,185 YORKLAND BLVD	 	NORTH YORK	 	ON M2J 4R2,NORTH YORK,416-385-7705,1445,1373,72,
FRIENDLY GREEK (THE),Restaurant,4695 YONGE ST	 	NORTH YORK	 	ON M2N 5M3,NORTH YORK,416-250-7880,86,66,20,
FRIENDLY HOUSE RESTAURANT,Restaurant,5908 YONGE ST	 	NORTH YORK	 	ON M2M 3T3,NORTH YORK,416-221-2662,52,52,0,
FROG & FIRKIN,Restaurant (Franchise),4854-56 YONGE ST	 	NORTH YORK	 	ON M2N 5N2,NORTH YORK,416-225-3764,436,360,76,
G. BAR & GRILL,Restaurant,2725 JANE ST                             UNIT 3	 	NORTH YORK	 	ON M3L 1S3,NORTH YORK,416-746-5058,30,30,0,
GARDEN DELI RESTAURANT,Restaurant,4141 YONGE ST.                           UNIT 100	 	NORTH YORK	 	ON M2P 2A6,NORTH YORK,416-229-4141,115,60,55,
GENJI SUSHI,Restaurant,2899 STEELES AVE. W.                     UNIT #15	 	NORTH YORK	 	ON M3J 3A1,NORTH YORK,416-667-0867,43,43,0,
GIORGIO D RESTAURANT,Restaurant,4377 STEELES AVE. W.	 	NORTH YORK	 	ON M3N 1V7,NORTH YORK,416-661-8989,149,149,0,
GLENDON COLLEGE SENIOR COMMON ROOM,Restaurant,2275 BAYVIEW AVE.	 	NORTH YORK	 	ON M4N 3M6,NORTH YORK,416-736-2100,189,189,0,
GOLDEN STAR RESTAURANT,Restaurant,2133 JANE ST                             UNIT 6	 	NORTH YORK	 	ON M3M 1A2,NORTH YORK,416-248-4228,120,120,0,
GOOD BOY BILLIARDS & COFFEE BAR,Restaurant,2873 KEELE ST	 	NORTH YORK	 	ON M3M 2G7,NORTH YORK,416-635-9877,77,77,0,
GOODBOY BILLIARDS & COFFEE BAR,Restaurant,2875 KEELE ST	 	NORTH YORK	 	ON M3M 2G7,NORTH YORK,416-635-9877,38,38,0,
GOOSE & FIRKIN,Restaurant,1875 LESLIE ST	 	NORTH YORK	 	ON M3B 2M5,NORTH YORK,416-383-1200,283,176,107,
GRANITE CLUB,Social Club,2350 BAYVIEW AVE	 	NORTH YORK	 	ON M2L 1E4,NORTH YORK,416-449-8713,3957,2881,1076,
GRASS MOUNTAIN VILLA SEAFOOD RESTAURANT,Restaurant,3555 DON MILLS ROAD                      UNIT 11	 	NORTH YORK	 	ON M2H 3N3,NORTH YORK,416-756-7773,198,198,0,
GREEK GOURMET,Restaurant,1554 AVENUE ROAD	 	NORTH YORK	 	ON M5M 3X5,NORTH YORK,416-782-3288,102,102,0,
GREEK MEDITERRANEAN GRILL,Restaurant,4914 YONGE ST                            CITY OF NORTH YORK	 	NORTH YORK	 	ON M2N 5N5,NORTH YORK,416-226-1212,89,65,24,
HANWOORI RESTAURANT,Restaurant,5505-07 YONGE ST	 	NORTH YORK	 	ON M2N 5S3,NORTH YORK,416-226-1922,40,40,0,
HOOPS SPORTS BAR & GRILL,Restaurant,4207 KEELE ST                            UNIT #1	 	NORTH YORK	 	ON M3J 2W1,NORTH YORK,416-661-4667,138,76,62,
HOT SPICY SPICY CHINESE RESTAURANT,Restaurant,173 RAVEL RD	 	NORTH YORK	 	ON M2H 1T1,NORTH YORK,416-491-8988,75,75,0,
HOUSE OF TE,Restaurant,3224 WESTON ROAD	 	NORTH YORK	 	ON M9M 2T7,NORTH YORK,416-740-7111,90,90,0,
ICHIBAN FISH HOUSE,Restaurant,15-17 SPRING GARDEN AVE	 	NORTH YORK	 	ON M2N 3G1,NORTH YORK,416-512-7899,65,65,0,
IKEA RESTAURANT & CAFE,Restaurant,15 PROVOST DRIVE	 	NORTH YORK	 	ON M2K 2X9,NORTH YORK,416-642-2990,259,259,0,
ISLAND CUISINE CARIBBEAN RESTAURANT,Restaurant,4205 KEELE ST                            SUITE 7	 	NORTH YORK	 	ON M3J 3T8,NORTH YORK,416-665-7900,30,30,0,
J 38 DINING,Restaurant,2050 AVENUE ROAD	 	NORTH YORK	 	ON M5M 4A6,NORTH YORK,416-322-7156,48,36,12,
JERUSALEM RESTAURANT,Restaurant,4777 LESLIE ST	 	NORTH YORK	 	ON M2J 2K8,NORTH YORK,416-490-7888,364,364,0,
JOEY DON MILLS GRILL LOUNGE,Restaurant,15 O'NEIL ROAD	 	NORTH YORK	 	ON M3C 0H2,NORTH YORK,604-669-5646,362,362,0,
JOON'S RESTAURANT,Restaurant,4852 YONGE ST	 	NORTH YORK	 	ON M2N 5N2,NORTH YORK,416-840-0589,45,45,0,
JUGRA GOLF AND SOCIAL CLUB,Social Club,2400 FINCH AVE. W                        UNIT 13	 	NORTH YORK	 	ON M9M 2C8,NORTH YORK,416-740-2332,150,150,0,
JUNG SOO NAE RESTAURANT,Restaurant,5754 YONGE ST	 	NORTH YORK	 	ON M2M 3T6,NORTH YORK,416-222-4267,32,32,0,
KARAOKE NHI NHI,Karaoke Bar/Restaurant,3585 KEELE ST                            UNIT 5	 	NORTH YORK	 	ON M3J 3H5,NORTH YORK,416-880-7898,40,40,0,
KARBOUZI,Restaurant,2048 AVENUE ROAD	 	NORTH YORK	 	ON M5M 4A6,NORTH YORK,416-483-3846,102,90,12,
KATZ'S DELICATESSEN & CORNED BEEF,Restaurant,3300 DUFFERIN ST.	 	NORTH YORK	 	ON M6A 2T5,NORTH YORK,416-782-1111,376,307,69,
"KEG STEAK HOUSE & BAR, LESLIE ST. (THE)",Restaurant,1977 LESLIE ST	 	NORTH YORK	 	ON M3B 2M3,NORTH YORK,416-446-1045,403,309,94,
KELSEY'S RESTAURANT,Restaurant,861 YORK MILLS ROAD	 	NORTH YORK	 	ON M3B 1Y2,NORTH YORK,416-441-2781,250,210,40,
KING HIGH RESTAURANT,Restaurant,424 WILSON AVE	 	NORTH YORK	 	ON M3H 1S9,NORTH YORK,416-633-6428,33,33,0,
KING SOLOMON'S TABLE,Restaurant,3705 CHESSWOOD DRIVE                     SHEPPARD SQUARE	 	NORTH YORK	 	ON M3J 2P6,NORTH YORK,416-636-2288,311,311,0,
KOKAME JAPANESE RESTUARANT,Restaurant,362 WILSON AVE	 	NORTH YORK	 	ON M3H 1S9,NORTH YORK,416-398-6446,24,24,0,
KOKORO SUSHI RESTAURANT,Restaurant,572-74 MARLEE AVE	 	NORTH YORK	 	ON M6B 3H8,NORTH YORK,416-782-4270,42,42,0,
LA CASCINA RISTORANTE,Restaurant,1552 AVENUE ROAD	 	NORTH YORK	 	ON M5M 3X5,NORTH YORK,647-448-1973,45,45,0,
LA CONTESSA BANQUET & CONVENTION CENTRE,Restaurant,69 MILVAN DRIVE	 	NORTH YORK	 	ON M9L 1Y8,NORTH YORK,416-749-5531,753,753,0,
LA DOLCE VITA RESTAURANT,Restaurant,105 PARKWAY FOREST DRIVE	 	NORTH YORK	 	ON M2J 1L8,NORTH YORK,416-491-2644,56,56,0,
LA PASIVA,Restaurant,896 WILSON AVE	 	NORTH YORK	 	ON M3K 1E7,NORTH YORK,416-636-6555,29,29,0,
LA TRAVIATA,Restaurant,852 WILSON AVE.	 	NORTH YORK	 	ON M3K 1E5,NORTH YORK,416-635-8891,91,91,0,
LAS BRISAS DEL MAR RESTAURANT & LOUNGE,Night Club,24 RIVALDA ROAD                          CITY OF NORTH YORK	 	NORTH YORK	 	ON M9M 2M3,NORTH YORK,416-741-0500,283,253,30,
LATERNA RESTAURANT,Restaurant,6301 YONGE ST	 	NORTH YORK	 	ON M2M 3X7,NORTH YORK,416-221-2501,69,49,20,
LE MONTMARTRE FRENCH RESTAURANT,Restaurant,911 SHEPPARD AVE W	 	NORTH YORK	 	ON M3H 2T7,NORTH YORK,416-630-3804,107,95,12,
LEENAM JANG,Restaurant,4846 YONGE ST	 	NORTH YORK	 	ON M2N 5N2,NORTH YORK,416-512-1344,175,149,26,
LILY'S RESTAURANT,Restaurant,278 EDDYSTONE AVE	 	NORTH YORK	 	ON M3N 1H7,NORTH YORK,416-747-6113,63,63,0,
LOKSHEN ALFREDO RESTAURANT,Restaurant,5310 YONGE ST	 	NORTH YORK	 	ON M2N 5P9,NORTH YORK,416-229-2277,184,131,53,
LUCKY'S CORNER,Restaurant,2111 JANE ST.	 	NORTH YORK	 	ON M3M 1A2,NORTH YORK,416-245-7783,85,85,0,
MALADO RESTAURANT,Restaurant,2437 FINCH AVE. W                        UNIT 2	 	NORTH YORK	 	ON M9M 2E7,NORTH YORK,416-741-9728,46,46,0,
MAMA MIA'S TRATTORIA,Restaurant,1111 BARMAC DRIVE	 	NORTH YORK	 	ON M9L 1X4,NORTH YORK,416-743-8353,59,59,0,
MAPLEWOOD MIDDLE EASTERN CUISINE,Restaurant,181 MILLWICK DRIVE	 	NORTH YORK	 	ON M9L 2X2,NORTH YORK,416-744-2638,40,40,0,
MARKY'S DELICATESSEN & RESTAURANT,Restaurant,280 WILSON AVE.	 	NORTH YORK	 	ON M3H 1S8,NORTH YORK,416-638-1081,140,140,0,
MAYFAIR WEST RACQUET CLUB,Social Club,3855 CHESSWOOD DRIVE	 	NORTH YORK	 	ON M3J 2P6,NORTH YORK,416-638-1010,96,96,0,
MELA + THE FINE ARTS OF INDIAN CUISINE,Restaurant,1921 AVENUE ROAD	 	NORTH YORK	 	ON M5M 4A2,NORTH YORK,416-783-9934,60,48,12,
MEMORIES OF JAPAN,Restaurant,900 DON MILLS ROAD                       UNIT 3A	 	NORTH YORK	 	ON M3C 1V6,NORTH YORK,416-449-3773,270,270,0,
MERIDIAN BANQUET AND CONVENTION CENTRE,Restaurant,2301 KEELE ST                            UNIT 101	 	NORTH YORK	 	ON M6M 3Z9,NORTH YORK,416-242-7100,466,466,0,
MEZZA NOTTE TRATTORIA,Restaurant,5304 YONGE ST	 	NORTH YORK	 	ON M2N 5P9,NORTH YORK,416-222-2888,111,80,31,
MILLER TAVERN(THE),Restaurant,3885 YONGE ST	 	NORTH YORK	 	ON M4N 2P5,NORTH YORK,416-322-5544,650,409,241,
MIRRAS SPAGHETTI HOUSE TAVERN,Restaurant,3153-57 DUFFERIN ST.	 	NORTH YORK	 	ON M6A 2T1,NORTH YORK,416-789-2457,104,104,0,
MONTECASSINO HOSPITALITY GROUP INC.,Restaurant,3710 CHESSWOOD DRIVE                     SUITE 201	 	NORTH YORK	 	ON M3J 2W4,NORTH YORK,416-630-8100,1410,1324,86,
MR. COMBO,Restaurant,568 SHEPPARD AVE W                       (CITY OF TORONTO)	 	NORTH YORK	 	ON M3H 2R9,NORTH YORK,416-917-2177,30,30,0,
MR. SUBMARINE,Restaurant,2353 FINCH AVE. W	 	NORTH YORK	 	ON M9M 2W8,NORTH YORK,416-743-0097,36,36,0,
MR. TEDDY'S RESTAURANT,Restaurant,2899 STEELES AVE W                       UNIT 12	 	NORTH YORK	 	ON M3J 3A1,NORTH YORK,416-665-9113,36,36,0,
NAKWON KOREAN RESTAURANT,Restaurant,5594 YONGE ST	 	NORTH YORK	 	ON M2N 5S2,NORTH YORK,416-590-1435,84,84,0,
NANDO'S PLACE,Bar /Tavern /Nightclub,111 MILLWICK DRIVE                       UNIT #6	 	NORTH YORK	 	ON M9L 1Y4,NORTH YORK,416-740-2004,60,60,0,
NEA GO HYANG KOREAN RESTAURANT,Restaurant,5582 YONGE ST                            MAIN FLOOR	 	NORTH YORK	 	ON M2N 5S2,NORTH YORK,416-224-8179,134,134,0,
NORTH BEACH INDOOR VOLLEYBALL ACADEMY,Restaurant,74 RAILSIDE RD	 	NORTH YORK	 	ON M3A 1A3,NORTH YORK,416-446-0777,375,150,225,
NORTH PARK BOWL,Restaurant,1359 LAWRENCE AVE W	 	NORTH YORK	 	ON M6L 1A4,NORTH YORK,416-240-9373,157,157,0,
NORTH YORK VETERANS' SOCIAL CLUB,Restaurant,6321 YONGE ST	 	NORTH YORK	 	ON M2M 3X7,NORTH YORK,416-222-5006,217,161,56,
OCEAN 49 RESTAURANT,Restaurant/Bar,2625C WESTON RD.                         UNIT 31	 	NORTH YORK	 	ON M9N 3V8,NORTH YORK,416-249-0900,247,194,53,
OH GEUL BOH GEUL,Restaurant,5320 YONGE ST.	 	NORTH YORK	 	ON M2N 5R2,NORTH YORK,416-733-3385,42,42,0,
OWL (BOO UNG EE) OF MINERVA,Restaurant,5324 YONGE ST	 	NORTH YORK	 	ON M2N 5P9,NORTH YORK,416-733-8282,110,72,38,
P. & G. FISH AND CHIPS,Restaurant,14 BRADSTOCK ROAD	 	NORTH YORK	 	ON M9M 1M8,NORTH YORK,416-745-5561,76,76,0,
PANZEROTTO PIZZA,Restaurant,5171 YONGE ST	 	NORTH YORK	 	ON M2N 5P5,NORTH YORK,416-225-5053,0,0,0,
PAPA'S DELI RISTORANTE,Restaurant,190 TORYORK DRIVE                        UNIT 1	 	NORTH YORK	 	ON M9L 1X6,NORTH YORK,416-749-2176,24,24,0,
PARROT'S NEST RESTAURANT (THE),Restaurant,1931-33 SHEPPARD AVE W	 	NORTH YORK	 	ON M3L 1Y8,NORTH YORK,416-747-1227,32,32,0,
PENALTY BOX RESTAURANT,Restaurant/Bar,4000 CHESSWOOD DRIVE	 	NORTH YORK	 	ON M3J 2B9,NORTH YORK,416-630-8114,492,492,0,
PERKINS RESTAURANT & BAKERY,Restaurant,50 NORFINCH DRIVE	 	NORTH YORK	 	ON M3N 1X1,NORTH YORK,416-663-9500,206,138,68,
PHEASANT & FIRKIN (THE),Restaurant,1999 AVENUE RD	 	NORTH YORK	 	ON M5M 4A5,NORTH YORK,416-483-9063,132,71,61,
PHO MI CAO VAN COM TAM,Restaurant,2223 JANE ST	 	NORTH YORK	 	ON M3M 1A5,NORTH YORK,416-243-2208,106,106,0,
PHO MINH NHAT,Restaurant,1122 WILSON AVE	 	NORTH YORK	 	ON M3M 1G7,NORTH YORK,416-398-2121,94,94,0,
PHO TRUONG THANH CHINESE VIETNAMESE RESTAURANT,Restaurant,425 SIGNET DRIVE	 	NORTH YORK	 	ON M9L 1V5,NORTH YORK,416-740-8788,178,178,0,
PHO 777,Restaurant,1700 WILSON AVE                          UNIT 195-197 SHERIDAN MALL	 	NORTH YORK	 	ON M3L 1B2,NORTH YORK,416-247-7759,85,85,0,
PICCOLA CITTA BAR & CAFFE,Restaurant,3685 KEELE ST.                           UNIT 1B	 	NORTH YORK	 	ON M3J 3H6,NORTH YORK,416-638-8947,80,80,0,
PICKLE BARREL RESTAURANT (THE),Restaurant,5941 LESLIE ST	 	NORTH YORK	 	ON M2H 1J8,NORTH YORK,416-493-4444,342,342,0,
PICKLE BARREL RESTAURANT (THE),Restaurant,YONGE STREET & STEELES AVE               CENTERPOINT MALL	 	NORTH YORK	 	ON M2M 3X4,NORTH YORK,416-226-4444,232,232,0,
PIT-STOP FAMILY RESTAURANT,Restaurant,2300 KEELE ST	 	NORTH YORK	 	ON M6M 3Z8,NORTH YORK,416-244-2005,114,99,15,
PIZZA NOVA (#83),Restaurant,3928 KEELE ST.	 	NORTH YORK	 	ON M3J 1N8,NORTH YORK,416-633-4430,20,20,0,
